formula	PTB_rate	CI
Hadlock	14.53	(12.77, 16.43 )
McLennan	16.23	(14.38, 18.21 )
Robinson	16.5	(14.64, 18.49 )
Sahota	13.51	(11.8, 15.36 )
Verburg	13.37	(11.68, 15.22 )
Intergrowth	12.97	(11.29, 14.79 )
Garbhini1	11.27	(9.7, 13 )
LMP	13.99	(12.25, 15.86 )
