formula	R2	RMSE
Hadlock	0.583	1.8
McLennan	0.583	1.834
Robinson	0.582	1.848
Sahota	0.582	1.777
Verburg	0.58	1.772
Intergrowth	0.58	1.754
Garbhini1	0.584	1.717
